Gene	BLCA	COADREAD	HNSC	MEL	NSCLC	PAAD	SARCOMA	Other
KRAS	0	34	0	1	12	40	1	7
ARID1A	2	11	1	4	3	6	1	38
PIK3CA	1	14	3	0	1	1	1	29
PTEN	0	8	0	1	3	0	1	30
CDKN2A	3	2	4	3	5	11	0	14
BRAF	0	12	0	8	1	1	0	1
NF1	0	3	0	3	2	0	1	4
ATM	0	3	0	2	0	0	1	10
BRCA2	0	11	0	6	0	0	0	2
NRAS	0	1	0	18	0	0	0	3
ATR	0	10	2	0	0	3	0	4
TSC2	0	1	0	0	0	1	3	3
BRCA1	0	0	0	0	2	0	0	2
ERBB2	1	2	1	0	0	0	0	5
PTCH1	0	4	0	0	0	0	0	4
CDK12	0	1	0	1	0	0	0	4
FGFR3	1	0	1	0	0	0	0	0
HRAS	1	0	1	0	0	0	0	1
FGFR1 Amp	0	1	4	0	0	0	1	2
CCNE1 Amp	0	1	0	1	0	1	1	7
ERBB2 Amp	0	0	1	1	0	0	0	3
CDKN2A Del	8	2	9	12	8	27	9	11
MET Fus	0	0	0	2	0	0	0	0
NTRK2 Fus	0	0	0	0	0	0	0	0
FLI1 Fus	0	0	0	0	0	0	1	0
FGFR2 Fus	0	0	0	0	0	0	0	0
BRAF Fus	0	0	0	0	0	0	0	0
NTRK3 Fus	0	0	0	0	0	0	0	0
RET Fus	0	0	0	0	0	0	0	1
MSI-H	0	13	0	0	0	0	0	21
TMB-H	0	8	4	5	1	0	0	11
pdx_model	13	78	31	28	25	42	21	88
