Gene	BLCA	COADREAD	HNSC	MEL	NSCLC	PAAD	SARCOMA	Other
KRAS	0	56	0	1	9	35	1	14
ARID1A	1	12	1	4	3	6	1	54
PIK3CA	1	23	2	0	3	1	1	35
PTEN	0	10	0	1	1	0	0	42
CDKN2A	0	0	2	2	4	15	0	18
BRAF	0	10	0	5	1	1	0	3
NF1	0	5	0	3	1	0	0	7
ATM	1	5	0	0	0	0	1	8
BRCA2	0	9	0	5	0	1	0	3
NRAS	0	3	0	11	0	1	0	1
ATR	0	10	1	0	0	3	0	7
TSC2	0	2	0	0	0	4	0	8
BRCA1	0	1	0	0	1	0	0	6
ERBB2	0	7	0	0	1	0	0	4
PTCH1	0	2	0	0	0	0	0	8
CDK12	0	2	0	1	0	0	0	2
FGFR3	2	0	0	0	0	0	0	0
HRAS	0	0	0	0	0	0	0	2
FGFR1 Amp	0	1	2	0	3	0	0	3
CCNE1 Amp	1	1	0	0	0	1	0	14
ERBB2 Amp	1	3	0	0	0	1	0	8
CDKN2A Del	5	2	5	10	11	21	2	14
MET Fus	0	0	0	0	0	0	0	0
NTRK2 Fus	0	0	0	0	0	0	0	0
FLI1 Fus	0	0	0	0	0	0	0	0
FGFR2 Fus	0	0	0	0	0	0	0	1
BRAF Fus	0	0	0	0	0	0	0	0
NTRK3 Fus	0	1	0	0	0	0	0	0
RET Fus	0	0	0	0	0	0	0	0
MSI-H	0	12	0	0	1	1	0	27
TMB-H	1	8	1	3	1	0	0	15
pdx_model	8	119	18	18	24	38	6	125
