Gene	BLCA	COADREAD	HNSC	MEL	NSCLC	PAAD	SARCOMA	Other
KRAS	1	91	0	1	21	86	1	39
ARID1A	9	20	1	7	8	11	1	83
PIK3CA	5	39	12	0	8	1	2	64
PTEN	2	12	3	1	6	0	1	76
CDKN2A	3	2	14	5	11	24	0	22
BRAF	0	20	0	14	1	1	0	5
NF1	0	4	0	8	3	1	5	19
ATM	2	5	1	3	3	3	1	19
BRCA2	2	9	3	6	0	1	0	13
NRAS	0	4	0	22	1	0	2	4
ATR	2	12	3	0	0	3	1	8
TSC2	0	4	1	0	0	3	3	12
BRCA1	0	1	1	0	3	2	0	13
ERBB2	0	7	3	0	2	0	0	8
PTCH1	0	5	0	0	1	0	1	7
CDK12	0	2	1	1	1	0	0	7
FGFR3	7	0	3	0	1	0	0	1
HRAS	2	0	3	0	0	1	0	6
FGFR1 Amp	2	3	5	0	4	1	4	11
CCNE1 Amp	2	1	0	1	2	1	1	17
ERBB2 Amp	1	3	1	1	1	0	0	14
CDKN2A Del	17	3	20	16	25	48	23	47
MET Fus	2	2	1	2	2	0	0	2
NTRK2 Fus	1	0	0	0	0	0	0	2
FLI1 Fus	0	0	0	0	0	0	0	2
FGFR2 Fus	0	0	0	0	0	0	0	2
BRAF Fus	0	0	0	1	0	0	0	1
NTRK3 Fus	0	1	0	0	0	0	0	0
RET Fus	0	0	0	0	0	0	0	1
MSI-H	1	20	0	1	3	2	2	47
TMB-H	5	12	7	7	8	0	1	22
pdx_model	39	178	83	46	78	89	117	347
