Hugo	PDMR	TCGA	IMPACT	Group
ABL1	5.527123849	1.33514	2.30257	PDX
AKT1	1.330603889	1.49961	1.49382	PDX
ALK	8.393039918	3.02825	4.20552	PDX
APC	36.13101331	10.594	8.40152	PDX
ARAF	2.661207779	1.07392	1.51284	PDX
ARID1A	23.64380757	8.26238	8.54424	PDX
ATM	13.71545548	5.02128	6.02284	PDX
BRAF	7.369498465	5.15673	7.51665	PDX
BRCA1	6.857727738	2.07043	2.97812	PDX
BRCA2	15.96724667	3.72485	4.87155	PDX
CDK12	4.912998976	1.86726	3.2255	PDX
CDK4	1.330603889	0.406347	0.76118	PDX
CDKN2A	10.03070624	4.46981	4.196	PDX
CREBBP	11.46366428	4.17957	5.50904	PDX
EGFR	6.038894575	5.7082	5.0999	PDX
ERBB2	5.834186285	2.96053	3.45385	PDX
ERCC2	4.503582395	1.35449	2.09324	PDX
ESR1	3.172978506	2.18653	2.10276	PDX
FAT1	24.76970317	5.54373	8.3254	PDX
FBXW7	10.33776868	3.2024	5.23311	PDX
FGFR1	3.889457523	1.08359	2.16936	PDX
FGFR2	3.172978506	1.51896	3.06375	PDX
FGFR3	4.810644831	2.09946	2.3216	PDX
FLI1	2.558853634	0	1.97907	PDX
FLT3	5.424769703	1.67376	2.72122	PDX
HRAS	1.842374616	0.938467	1.5509	PDX
IDH1	2.661207779	2.9702	5.37583	PDX
IDH2	2.047082907	0.638545	1.00856	PDX
JAK2	4.60593654	1.18034	2.09324	PDX
KDM6A	4.298874104	3.25077	3.8725	PDX
KIT	6.653019447	2.68963	3.2255	PDX
KRAS	25.07676561	15.567	7.88773	PDX
MAP2K1	1.023541453	0.967492	1.28449	PDX
MAP2K2	1.432958035	0.599845	0.94196	PDX
MDM2	1.330603889	0.580495	0.980019	PDX
MET	4.810644831	2.11881	3.01618	PDX
MTOR	7.778915046	2.95085	4.40533	PDX
NF1	9.825997953	5.57276	7.07897	PDX
NOTCH1	16.27430911	4.20859	5.19505	PDX
NRAS	3.787103378	2.40906	3.00666	PDX
NTRK1	5.629477994	1.63506	2.43578	PDX
NTRK2	3.07062436	1.22872	2.73073	PDX
NTRK3	5.117707267	2.38003	4.16746	PDX
PBRM1	6.345957011	3.5507	4.71931	PDX
PDGFB	1.432958035	0	0.865842	PDX
PDGFRA	4.094165814	2.15751	3.89153	PDX
PDGFRB	5.015353122	1.52864	2.53092	PDX
PIK3CA	16.88843398	12.5387	13.6061	PDX
PIK3R1	5.93654043	2.44776	4.37678	PDX
PTCH1	8.597748209	2.14783	3.31113	PDX
PTEN	12.28249744	6.11455	8.71551	PDX
RAF1	1.53531218	0.919118	1.43673	PDX
RB1	8.495394063	4.80844	4.60514	PDX
RET	8.393039918	1.92531	3.24453	PDX
ROS1	11.97543501	3.15402	5.46147	PDX
SETD2	10.44012282	4.22794	4.61465	PDX
SF3B1	3.787103378	2.08011	3.0352	PDX
SMARCA4	9.00716479	4.30534	4.68126	PDX
SMARCB1	1.228249744	0.880418	1.17983	PDX
SPEN	13.81780962	3.32817	5.62322	PDX
SRSF2	0.716479017	0.396672	0.903901	PDX
TP53	64.68781986	41.9505	37.2693	PDX
TSC1	3.991811668	1.80921	2.59753	PDX
TSC2	8.290685773	2.41873	3.10181	PDX
U2AF1	1.125895599	0.841718	1.15128	PDX
VHL	2.558853634	1.84791	2.14082	PDX
ZRSR2	2.354145343	0.367647	0.656518	PDX
MLL2	0	8.03986	0	PDX
MLL3	0	6.0565	0	PDX
ABL1	6.748466258	1.33514	2.30257	PDC
AKT1	0.920245399	1.49961	1.49382	PDC
ALK	9.202453988	3.02825	4.20552	PDC
APC	29.14110429	10.594	8.40152	PDC
ARAF	2.760736196	1.07392	1.51284	PDC
ARID1A	22.39263804	8.26238	8.54424	PDC
ATM	10.12269939	5.02128	6.02284	PDC
BRAF	10.73619632	5.15673	7.51665	PDC
BRCA1	4.90797546	2.07043	2.97812	PDC
BRCA2	12.57668712	3.72485	4.87155	PDC
CDK12	7.975460123	1.86726	3.2255	PDC
CDK4	0.920245399	0.406347	0.76118	PDC
CDKN2A	14.11042945	4.46981	4.196	PDC
CREBBP	12.26993865	4.17957	5.50904	PDC
EGFR	5.521472393	5.7082	5.0999	PDC
ERBB2	6.748466258	2.96053	3.45385	PDC
ERCC2	4.90797546	1.35449	2.09324	PDC
ESR1	4.294478528	2.18653	2.10276	PDC
FAT1	19.93865031	5.54373	8.3254	PDC
FBXW7	9.81595092	3.2024	5.23311	PDC
FGFR1	5.214723926	1.08359	2.16936	PDC
FGFR2	3.987730061	1.51896	3.06375	PDC
FGFR3	3.680981595	2.09946	2.3216	PDC
FLI1	3.374233129	0	1.97907	PDC
FLT3	4.294478528	1.67376	2.72122	PDC
HRAS	1.533742331	0.938467	1.5509	PDC
IDH1	2.760736196	2.9702	5.37583	PDC
IDH2	2.760736196	0.638545	1.00856	PDC
JAK2	4.294478528	1.18034	2.09324	PDC
KDM6A	3.067484663	3.25077	3.8725	PDC
KIT	4.601226994	2.68963	3.2255	PDC
KRAS	29.14110429	15.567	7.88773	PDC
MAP2K1	1.226993865	0.967492	1.28449	PDC
MAP2K2	2.147239264	0.599845	0.94196	PDC
MDM2	1.226993865	0.580495	0.980019	PDC
MET	4.294478528	2.11881	3.01618	PDC
MTOR	7.668711656	2.95085	4.40533	PDC
NF1	11.04294479	5.57276	7.07897	PDC
NOTCH1	11.34969325	4.20859	5.19505	PDC
NRAS	6.134969325	2.40906	3.00666	PDC
