Hugo_Symbol	PDMR	TCGA	IMPACT	Oncotree
ABL1	0	3.39806	1.92308	BLCA
ALK	15.38461538	4.12621	4.16667	BLCA
APC	12.82051282	6.79612	5.44872	BLCA
ARID1A	30.76923077	26.4563	26.2821	BLCA
ATM	20.51282051	14.5631	10.2564	BLCA
BRCA2	20.51282051	10.9223	8.65385	BLCA
CDK12	2.564102564	8.25243	4.80769	BLCA
CDK4	2.564102564	1.45631	0.320513	BLCA
CDKN2A	15.38461538	6.5534	6.73077	BLCA
CREBBP	17.94871795	13.3495	14.4231	BLCA
EGFR	10.25641026	4.36893	3.20513	BLCA
ERBB2	5.128205128	14.8058	14.1026	BLCA
ERCC2	2.564102564	10.6796	11.5385	BLCA
ESR1	7.692307692	1.94175	0.641026	BLCA
FAT1	35.8974359	13.3495	11.2179	BLCA
FBXW7	10.25641026	9.46602	8.97436	BLCA
FGFR2	0	3.64078	2.88462	BLCA
FGFR3	20.51282051	15.0485	26.2821	BLCA
FLI1	2.564102564	1.94175	0	BLCA
FLT3	5.128205128	2.6699	2.5641	BLCA
HRAS	5.128205128	5.09709	2.5641	BLCA
IDH1	5.128205128	2.18447	1.28205	BLCA
JAK2	2.564102564	2.42718	2.5641	BLCA
KDM6A	25.64102564	27.4272	34.2949	BLCA
MDM2	5.128205128	0.970874	0.641026	BLCA
MET	10.25641026	5.58252	3.20513	BLCA
MTOR	10.25641026	5.33981	5.76923	BLCA
NF1	5.128205128	9.70874	7.69231	BLCA
NOTCH1	20.51282051	5.09709	5.44872	BLCA
NRAS	2.564102564	1.94175	0.961538	BLCA
NTRK1	7.692307692	2.91262	1.92308	BLCA
NTRK2	5.128205128	3.39806	2.88462	BLCA
PBRM1	5.128205128	5.33981	7.69231	BLCA
PDGFRA	10.25641026	4.85437	1.92308	BLCA
PDGFRB	5.128205128	1.21359	3.52564	BLCA
PIK3CA	23.07692308	22.5728	22.1154	BLCA
PIK3R1	5.128205128	2.6699	1.92308	BLCA
PTCH1	5.128205128	4.61165	1.92308	BLCA
PTEN	5.128205128	4.36893	2.24359	BLCA
RB1	15.38461538	18.932	14.7436	BLCA
RET	7.692307692	2.42718	1.92308	BLCA
ROS1	12.82051282	6.06796	4.16667	BLCA
SETD2	12.82051282	6.5534	5.76923	BLCA
SMARCA4	7.692307692	7.03883	7.69231	BLCA
SMARCB1	2.564102564	1.45631	2.24359	BLCA
SPEN	15.38461538	9.46602	7.69231	BLCA
TP53	58.97435897	49.2718	38.7821	BLCA
TSC1	2.564102564	9.70874	8.33333	BLCA
TSC2	10.25641026	5.09709	2.5641	BLCA
ZRSR2	2.564102564	1.45631	0.961538	BLCA
AKT1	0	2.18447	2.24359	BLCA
ARAF	2.564102564	0.970874	1.28205	BLCA
BRAF	0	3.64078	3.20513	BLCA
BRCA1	2.564102564	5.33981	6.73077	BLCA
FGFR1	0	1.94175	1.92308	BLCA
IDH2	0	0.970874	0.320513	BLCA
KIT	2.564102564	4.12621	3.52564	BLCA
KRAS	2.564102564	4.12621	5.76923	BLCA
MAP2K1	0	0.485437	0.641026	BLCA
MAP2K2	0	1.69903	0.320513	BLCA
NTRK3	2.564102564	2.91262	1.92308	BLCA
PDGFB	0	1.21359	0	BLCA
RAF1	0	1.94175	1.92308	BLCA
SF3B1	0	6.31068	4.80769	BLCA
SRSF2	0	1.69903	1.28205	BLCA
U2AF1	7.692307692	2.18447	2.5641	BLCA
VHL	0	0.970874	1.60256	BLCA
MLL3	0	0	13.7821	BLCA
MLL2	0	0	25.3205	BLCA
ABL1	7.865168539	5.84416	2.38693	COADREAD
AKT1	3.370786517	3.24675	1.38191	COADREAD
ALK	10.6741573	9.74026	3.76884	COADREAD
APC	85.39325843	62.7706	66.8342	COADREAD
ARAF	2.247191011	4.329	2.01005	COADREAD
ARID1A	15.73033708	12.5541	7.53769	COADREAD
ATM	7.865168539	12.987	7.41206	COADREAD
BRAF	15.16853933	12.5541	10.9296	COADREAD
BRCA1	5.056179775	3.67965	2.76382	COADREAD
BRCA2	17.41573034	7.14286	5.65327	COADREAD
CDK12	3.93258427	7.35931	2.88945	COADREAD
CDK4	1.123595506	1.08225	0.628141	COADREAD
CDKN2A	3.370786517	1.7316	1.63317	COADREAD
CREBBP	14.60674157	10.6061	3.76884	COADREAD
EGFR	6.179775281	4.97835	2.01005	COADREAD
ERBB2	7.865168539	4.97835	3.26633	COADREAD
ERCC2	5.056179775	3.4632	1.25628	COADREAD
ESR1	5.056179775	5.19481	2.51256	COADREAD
FAT1	19.66292135	12.7706	6.40704	COADREAD
FBXW7	15.73033708	15.8009	8.79397	COADREAD
FGFR1	5.056179775	4.11255	1.63317	COADREAD
FGFR2	2.247191011	3.8961	2.51256	COADREAD
FGFR3	5.617977528	4.97835	1.88442	COADREAD
FLI1	4.494382022	3.0303	0	COADREAD
FLT3	3.93258427	2.1645	1.63317	COADREAD
HRAS	1.123595506	1.94805	0.753769	COADREAD
IDH1	3.93258427	1.94805	1.13065	COADREAD
IDH2	2.808988764	2.38095	0.502513	COADREAD
JAK2	6.179775281	3.0303	1.00503	COADREAD
KDM6A	3.370786517	3.0303	1.50754	COADREAD
KIT	5.617977528	6.27706	2.13568	COADREAD
KRAS	53.93258427	38.0952	39.196	COADREAD
MAP2K1	0.561797753	2.5974	2.01005	COADREAD
MAP2K2	1.685393258	2.38095	0.376884	COADREAD
MDM2	1.685393258	0.865801	0.376884	COADREAD
MET	4.494382022	4.329	1.25628	COADREAD
MTOR	9.550561798	9.52381	3.89447	COADREAD
NF1	8.426966292	6.27706	4.39698	COADREAD
NOTCH1	13.48314607	7.57576	5.65327	COADREAD
NRAS	2.808988764	4.329	3.76884	COADREAD
NTRK1	5.617977528	3.0303	3.26633	COADREAD
NTRK2	3.93258427	5.84416	1.63317	COADREAD
NTRK3	6.179775281	5.62771	2.26131	COADREAD
PBRM1	5.056179775	5.19481	3.1407	COADREAD
PDGFB	3.370786517	0.4329	0	COADREAD
PDGFRA	0.561797753	7.14286	2.88945	COADREAD
PDGFRB	3.370786517	5.84416	2.51256	COADREAD
PIK3CA	21.91011236	27.9221	18.3417	COADREAD
PIK3R1	5.056179775	6.27706	4.27136	COADREAD
PTCH1	9.550561798	7.14286	4.39698	COADREAD
PTEN	6.179775281	6.49351	6.03015	COADREAD
RAF1	3.370786517	2.81385	1.75879	COADREAD
RB1	6.179775281	3.24675	1.88442	COADREAD
RET	7.865168539	6.49351	2.13568	COADREAD
ROS1	9.550561798	9.52381	3.76884	COADREAD
SETD2	8.988764045	6.70996	4.0201	COADREAD
SF3B1	1.685393258	4.97835	2.13568	COADREAD
SMARCA4	6.741573034	7.79221	5.02513	COADREAD
SMARCB1	1.685393258	3.0303	1.25628	COADREAD
SPEN	12.35955056	8.87446	4.39698	COADREAD
SRSF2	1.123595506	1.08225	0.502513	COADREAD
TP53	71.34831461	48.9177	64.3216	COADREAD
TSC1	2.247191011	4.7619	2.13568	COADREAD
TSC2	8.426966292	4.7619	2.76382	COADREAD
U2AF1	0.561797753	1.51515	0.628141	COADREAD
VHL	1.685393258	1.08225	0.251256	COADREAD
ZRSR2	1.685393258	1.2987	0.502513	COADREAD
MLL3	0	0	4.64824	COADREAD
MLL2	0	0	8.66834	COADREAD
ABL1	4.819277108	1.51515	0	HNSC
ALK	10.84337349	3.78788	0	HNSC
APC	9.638554217	4.54545	2.04082	HNSC
ARID1A	10.84337349	4.92424	10.2041	HNSC
ATM	9.638554217	3.78788	0	HNSC
BRCA1	4.819277108	2.46212	4.08163	HNSC
BRCA2	16.86746988	4.35606	4.08163	HNSC
CDK12	13.25301205	1.70455	2.04082	HNSC
CDKN2A	16.86746988	20.4545	12.2449	HNSC
