Sample or In Vitro Model ID	PDC/PDOrg	Culture Origin
116655-072-R-J2-PDC	PDC	PDX-Derived Organoid
118821-072-R-J1-PDC	PDC	Patient Tissue
126254-015-R-J1-PDC	PDC	Patient Tissue
128128-338-R-J1-PDC	PDC	PDX Fragment
128783-104-T-J2-PDC	PDC	PDX-Derived Organoid
135848-042-T-J1-PDC	PDC	PDX-Derived Organoid
136722-071-R-J1-PDC	PDC	PDX Fragment
137432-314-R-J2-PDC	PDC	PDX Fragment
138582-337-R-J1-PDC	PDC	Patient Tissue
145919-334-R-J1-PDC	PDC	PDX Fragment
147741-163-M-J2-PDC	PDC	Patient-Derived Organoid
147741-172-M-J3-PDC	PDC	Patient-Derived Organoid
147741-191-M-J1-PDC	PDC	Patient Tissue
154431-089-R-J1-PDC	PDC	Patient Tissue
156681-154-R-J1-PDC	PDC	Patient Tissue
157184-299-T-J1-PDC	PDC	PDX Fragment
159449-244-R-J1-PDC	PDC	PDX Fragment
167148-078-R-J1-PDC	PDC	PDX Fragment
168753-222-R-J1-PDC	PDC	PDX Fragment
169284-167-R-J1-PDC	PDC	Patient Tissue
171881-019-R-J1-PDC	PDC	PDX Fragment
174125-134-R-J2-PDC	PDC	PDX Fragment
175126-011-R-J3-PDC	PDC	PDX Fragment
176247-063-R-J2-PDC	PDC	PDX-Derived Organoid
186277-243-T-J2-PDC	PDC	PDX-Derived Organoid
188146-221-R-J1-PDC	PDC	PDX-Derived Organoid
189374-263-R-J1-PDC	PDC	PDX-Derived Organoid
192522-019-R-J2-PDC	PDC	PDX-Derived Organoid
194179-226-R-J1-PDC	PDC	Patient Tissue
197837-219-T-J1-PDC	PDC	PDX-Derived Organoid
217283-344-R-J1-PDC	PDC	PDX Fragment
217524-143-R1-J4-PDC	PDC	PDX Fragment
217524-143-R2-J1-PDC	PDC	PDX Fragment
217524-143-R4-J3-PDC	PDC	PDX Fragment
217524-143-R5-J2-PDC	PDC	PDX Fragment
227483-062-R1-J1-PDC	PDC	PDX-Derived Organoid
228754-122-R-J1-PDC	PDC	Patient Tissue
233499-124-R-J2-PDC	PDC	PDX-Derived Organoid
242566-281-R-J2-PDC	PDC	PDX Fragment
244465-170-R-J1-PDC	PDC	Patient Tissue
249661-222-R-J2-PDC	PDC	PDX Fragment
251477-161-R-J2-PDC	PDC	PDX Fragment
251568-266-R-J2-PDC	PDC	PDX Fragment
252517-233-R-J1-PDC	PDC	Patient Tissue
252836-082-R-J2-PDC	PDC	PDX Fragment
253994-281-T-J1-PDC	PDC	PDX Fragment
255893-291-R-J1-PDC	PDC	PDX Fragment
259778-044-R-J2-PDC	PDC	PDX-Derived Organoid
266295-075-R-J1-PDC	PDC	PDX Fragment
273541-280-R-J1-PDC	PDC	PDX Fragment
276233-004-R-J1-PDC	PDC	PDX Fragment
277667-354-R-J1-PDC	PDC	Patient Tissue
282377-053-R-J1-PDC	PDC	PDX-Derived Organoid
283228-195-R-J1-PDC	PDC	PDX-Derived Organoid
287614-091-R-J1-PDC	PDC	PDX Fragment
287954-098-R-J1-PDC	PDC	Patient Tissue
296188-107-R-J1-PDC	PDC	Patient Tissue
299254-011-R-J1-PDC	PDC	PDX-Derived Organoid
