Model	PDX/PDC/Organoid Sample	Common	Originator Only	Test Sample Only	Jaccard	PPA_refOriginator	PPA_refTest	ISA
114434~197-R	114434~197-R.maf	1226	31	568	0.67	0.98	0.68	0.8
114868~125-R	114868~125-R.maf	1145	92	268	0.76	0.93	0.81	0.86
115747~069-R	115747~069-R.maf	1292	719	2295	0.3	0.64	0.36	0.46
116655~072-R	116655~072-R.maf	1630	511	1989	0.39	0.76	0.45	0.57
117519~064-T	117519~064-T.maf	2509	116	593	0.78	0.96	0.81	0.88
132734~180-R	132734~180-R.maf	1107	102	647	0.6	0.92	0.63	0.75
133581~144-R	133581~144-R.maf	1149	120	457	0.67	0.91	0.72	0.8
136153~299-R	136153~299-R.maf	1034	189	715	0.53	0.85	0.59	0.7
137432~314-R	137432~314-R.maf	1193	81	531	0.66	0.94	0.69	0.8
143587~279-R	143587~279-R.maf	3173	109	675	0.8	0.97	0.82	0.89
144983~106-R	144983~106-R.maf	3084	36	474	0.86	0.99	0.87	0.92
145666~245-R	145666~245-R.maf	1095	167	1054	0.47	0.87	0.51	0.64
146199~324-R	146199~324-R.maf	1878	116	1180	0.59	0.94	0.61	0.74
147771~066-R1	147771~066-R1.maf	1119	84	5192	0.17	0.93	0.18	0.3
154431~089-R	154431~089-R.maf	1064	259	224	0.69	0.8	0.83	0.82
158883~120-T	158883~120-T.maf	1067	297	542	0.56	0.78	0.66	0.72
163357~337-R	163357~337-R.maf	1233	149	615	0.62	0.89	0.67	0.76
165739~295-R	165739~295-R.maf	1028	136	589	0.59	0.88	0.64	0.74
167148~078-R	167148~078-R.maf	1106	180	598	0.59	0.86	0.65	0.74
168753~222-R	168753~222-R.maf	3500	71	635	0.83	0.98	0.85	0.91
171881~019-R	171881~019-R.maf	3349	419	861	0.72	0.89	0.8	0.84
172845~288-R	172845~288-R.maf	1355	78	623	0.66	0.95	0.69	0.79
174125~134-R	174125~134-R.maf	1094	90	555	0.63	0.92	0.66	0.77
174316~266-R	174316~266-R.maf	1831	73	447	0.78	0.96	0.8	0.88
175126~011-R	175126~011-R.maf	2846	65	1072	0.71	0.98	0.73	0.83
176374~079-R	176374~079-R.maf	1074	242	605	0.56	0.82	0.64	0.72
182917~245-R	182917~245-R.maf	1023	181	600	0.57	0.85	0.63	0.72
187717~099-R	187717~099-R.maf	1277	61	455	0.71	0.95	0.74	0.83
188146~221-R	188146~221-R.maf	3714	91	1618	0.68	0.98	0.7	0.81
191243~178-R	191243~178-R.maf	1223	137	682	0.6	0.9	0.64	0.75
193523~008-R	193523~008-R.maf	909	353	550	0.5	0.72	0.62	0.67
193832~021-R	193832~021-R.maf	937	313	906	0.43	0.75	0.51	0.61
194179~226-R	194179~226-R.maf	1060	80	551	0.63	0.93	0.66	0.77
195496~121-R	195496~121-R.maf	1366	58	650	0.66	0.96	0.68	0.79
197587~005-T	197587~005-T.maf	2970	102	513	0.83	0.97	0.85	0.91
216738~123-R	216738~123-R.maf	1218	103	524	0.66	0.92	0.7	0.8
217283~344-R	217283~344-R.maf	1420	64	853	0.61	0.96	0.62	0.76
233313~265-R	233313~265-R.maf	1280	116	478	0.68	0.92	0.73	0.81
242566~281-R	242566~281-R.maf	1117	94	614	0.61	0.92	0.65	0.76
243415~090-R	243415~090-R.maf	1062	116	512	0.63	0.9	0.67	0.77
244727~301-R	244727~301-R.maf	1275	51	593	0.66	0.96	0.68	0.8
245127~232-R	245127~232-R.maf	1029	205	624	0.55	0.83	0.62	0.71
245324~029-R	245324~029-R.maf	1027	53	603	0.61	0.95	0.63	0.76
249533~200-R	249533~200-R.maf	1084	188	503	0.61	0.85	0.68	0.76
249662~076-R	249662~076-R.maf	1141	112	727	0.58	0.91	0.61	0.73
251568~266-R	251568~266-R.maf	1376	147	455	0.7	0.9	0.75	0.82
251944~056-R	251944~056-R.maf	2791	153	586	0.79	0.95	0.83	0.88
252517~233-R	252517~233-R.maf	1178	40	501	0.69	0.97	0.7	0.81
252836~082-R	252836~082-R.maf	1195	109	358	0.72	0.92	0.77	0.84
254851~301-R	254851~301-R.maf	1186	93	327	0.74	0.93	0.78	0.85
255893~291-R	255893~291-R.maf	1287	85	615	0.65	0.94	0.68	0.79
259778~044-R	259778~044-R.maf	1066	157	587	0.59	0.87	0.64	0.74
261386~189-R	261386~189-R.maf	1655	88	431	0.76	0.95	0.79	0.86
262622~085-R	262622~085-R.maf	1267	135	433	0.69	0.9	0.75	0.82
266295~075-R	266295~075-R.maf	1135	202	734	0.55	0.85	0.61	0.71
268233~264-R	268233~264-R.maf	2759	491	535	0.73	0.85	0.84	0.84
271251~349-R	271251~349-R.maf	1284	119	604	0.64	0.92	0.68	0.78
272983~159-R	272983~159-R.maf	1300	186	526	0.65	0.87	0.71	0.79
273589~319-R	273589~319-R.maf	1187	138	572	0.63	0.9	0.67	0.77
274332~332-R	274332~332-R.maf	1075	99	429	0.67	0.92	0.71	0.8
275155~148-R	275155~148-R.maf	3225	121	1508	0.66	0.96	0.68	0.8
275375~350-R	275375~350-R.maf	1215	117	653	0.61	0.91	0.65	0.76
276743~352-R	276743~352-R.maf	2655	329	611	0.74	0.89	0.81	0.85
278458~045-R	278458~045-R.maf	1885	81	3229	0.36	0.96	0.37	0.53
281475~159-R	281475~159-R.maf	1172	98	695	0.6	0.92	0.63	0.75
281562~285-R	281562~285-R.maf	1060	305	603	0.54	0.78	0.64	0.7
282377~053-R	282377~053-R.maf	1980	98	1579	0.54	0.95	0.56	0.7
283228~195-R	283228~195-R.maf	2598	90	1202	0.67	0.97	0.68	0.8
283339~068-R	283339~068-R.maf	1649	69	667	0.69	0.96	0.71	0.82
286954~287-R	286954~287-R.maf	1081	138	405	0.67	0.89	0.73	0.8
289738~340-R	289738~340-R.maf	3155	126	1021	0.73	0.96	0.76	0.85
289856~162-R	289856~162-R.maf	1274	99	537	0.67	0.93	0.7	0.8
292632~238-R	292632~238-R.maf	1082	176	675	0.56	0.86	0.62	0.72
295898~268-R2	295898~268-R2.maf	1184	66	542	0.66	0.95	0.69	0.8
295898~268-R5	295898~268-R5.maf	1223	120	579	0.64	0.91	0.68	0.78
296347~364-R	296347~364-R.maf	1173	138	482	0.65	0.89	0.71	0.79
299254~011-R	299254~011-R.maf	1980	169	527	0.74	0.92	0.79	0.85
312483~313-R	312483~313-R.maf	1124	141	632	0.59	0.89	0.64	0.74
313798~341-R	313798~341-R.maf	1251	117	563	0.65	0.91	0.69	0.79
