Model	PDX/PDC/Organoid Sample	Common	Originator Only	Test Sample Only	Jaccard	PPA_refOriginator	PPA_refTest	ISA
116655~072-R	116655~072-R~J2-PDC~WES.variants.maf	1537	604	1017	0.49	0.72	0.6	0.65
137432~314-R	137432~314-R~J2-PDC~WES.variants.maf	1116	158	191	0.76	0.88	0.85	0.86
154431~089-R	154431~089-R~J1-PDC~WES.variants.maf	1067	256	223	0.69	0.81	0.83	0.82
167148~078-R	167148~078-R~J1-PDC~WES.variants.maf	1037	249	250	0.68	0.81	0.81	0.81
168753~222-R	168753~222-R~J1-PDC~WES.variants.maf	3406	165	241	0.89	0.95	0.93	0.94
171881~019-R	171881~019-R~J1-PDC~WES.variants.maf	3093	675	428	0.74	0.82	0.88	0.85
174125~134-R	174125~134-R~J2-PDC~WES.variants.maf	964	220	150	0.72	0.81	0.87	0.84
175126~011-R	175126~011-R~J3-PDC~WES.variants.maf	2561	350	594	0.73	0.88	0.81	0.84
188146~221-R	188146~221-R~J1-PDC~WES.variants.maf	3487	318	777	0.76	0.92	0.82	0.86
194179~226-R	194179~226-R~J1-PDC~WES.variants.maf	968	172	190	0.73	0.85	0.84	0.84
217283~344-R	217283~344-R~J1-PDC~WES.variants.maf	1323	161	310	0.74	0.89	0.81	0.85
242566~281-R	242566~281-R~J2-PDC~WES.variants.maf	987	224	232	0.68	0.82	0.81	0.81
251568~266-R	251568~266-R~J2-PDC~WES.variants.maf	1154	369	170	0.68	0.76	0.87	0.81
252517~233-R	252517~233-R~J1-PDC~WES.variants.maf	1028	190	192	0.73	0.84	0.84	0.84
252836~082-R	252836~082-R~J2-PDC~WES.variants.maf	1099	205	219	0.72	0.84	0.83	0.84
255893~291-R	255893~291-R~J1-PDC~WES.variants.maf	1139	233	212	0.72	0.83	0.84	0.84
259778~044-R	259778~044-R~J2-PDC~WES.variants.maf	941	282	339	0.6	0.77	0.74	0.75
266295~075-R	266295~075-R~J1-PDC~WES.variants.maf	1053	284	359	0.62	0.79	0.75	0.77
282377~053-R	282377~053-R~J1-PDC~WES.variants.maf	1840	238	609	0.68	0.89	0.75	0.81
283228~195-R	283228~195-R~J1-PDC~WES.variants.maf	2437	251	1019	0.66	0.91	0.71	0.79
299254~011-R	299254~011-R~J1-PDC~WES.variants.maf	1853	296	253	0.77	0.86	0.88	0.87
299254~011-R	299254~011-R~J2-PDC~WES.variants.maf	1844	305	244	0.77	0.86	0.88	0.87
313798~341-R	313798~341-R~J2-PDC~WES.variants.maf	1147	221	160	0.75	0.84	0.88	0.86
317291~083-R	317291~083-R~J1-PDC~WES.variants.maf	902	329	248	0.61	0.73	0.78	0.76
323392~091-R	323392~091-R~J1-PDC~WES.variants.maf	1050	305	448	0.58	0.77	0.7	0.74
327498~153-R	327498~153-R~J2-PDC~WES.variants.maf	1707	173	316	0.78	0.91	0.84	0.87
328373~195-R	328373~195-R~J1-PDC~WES.variants.maf	2820	256	306	0.83	0.92	0.9	0.91
328634~206-R	328634~206-R~J1-PDC~WES.variants.maf	1042	257	275	0.66	0.8	0.79	0.8
378893~306-R	378893~306-R~J2-PDC~WES.variants.maf	960	393	254	0.6	0.71	0.79	0.75
381356~305-R	381356~305-R~J1-PDC~WES.variants.maf	1107	194	325	0.68	0.85	0.77	0.81
388244~064-R	388244~064-R~J1-PDC~WES.variants.maf	2169	637	357	0.69	0.77	0.86	0.81
392184~169-R	392184~169-R~J1-PDC~WES.variants.maf	1088	195	190	0.74	0.85	0.85	0.85
392184~169-R	392184~169-R~J2-PDC~WES.variants.maf	1071	212	220	0.71	0.83	0.83	0.83
412728~344-R	412728~344-R~J1-PDC~WES.variants.maf	1696	316	508	0.67	0.84	0.77	0.8
412728~344-R	412728~344-R~J2-PDC~WES.variants.maf	1708	304	735	0.62	0.85	0.7	0.77
415267~285-R	415267~285-R~J2-PDC~WES.variants.maf	2929	493	219	0.8	0.86	0.93	0.89
417952~058-R	417952~058-R~J1-PDC~WES.variants.maf	1044	269	355	0.63	0.8	0.75	0.77
422866~222-R5	422866~222-R5~J1-PDC~WES.variants.maf	1076	288	253	0.67	0.79	0.81	0.8
435261~313-R	435261~313-R~J1-PDC~WES.variants.maf	1117	171	220	0.74	0.87	0.84	0.85
442324~144-R	442324~144-R~J1-PDC~WES.variants.maf	1093	279	203	0.69	0.8	0.84	0.82
454973~116-R3	454973~116-R3~J5-PDC~WES.variants.maf	1124	259	286	0.67	0.81	0.8	0.8
454973~116-R4	454973~116-R4~J6-PDC~WES.variants.maf	1128	233	264	0.69	0.83	0.81	0.82
459288~142-R	459288~142-R~J1-PDC~WES.variants.maf	1670	283	342	0.73	0.86	0.83	0.84
479421~043-R	479421~043-R~J1-PDC~WES.variants.maf	1136	180	258	0.72	0.86	0.81	0.84
485368~065-R3	485368~065-R3~J5-PDC~WES.variants.maf	962	383	259	0.6	0.72	0.79	0.75
485368~065-R4	485368~065-R4~J2-PDC~WES.variants.maf	1018	287	254	0.65	0.78	0.8	0.79
485977~131-R	485977~131-R~J1-PDC~WES.variants.maf	1357	356	784	0.54	0.79	0.63	0.7
494315~158-R	494315~158-R~J1-PDC~WES.variants.maf	995	292	237	0.65	0.77	0.81	0.79
496974~208-R	496974~208-R~J2-PDC~WES.variants.maf	985	220	176	0.71	0.82	0.85	0.83
512936~074-R	512936~074-R~J1-PDC~WES.variants.maf	918	316	297	0.6	0.74	0.76	0.75
519858~162-T	519858~162-T~J1-PDC~WES.variants.maf	973	218	200	0.7	0.82	0.83	0.82
521955~158-R3	521955~158-R3~J6-PDC~WES.variants.maf	881	338	287	0.58	0.72	0.75	0.74
521955~158-R5	521955~158-R5~J7-PDC~WES.variants.maf	1010	255	218	0.68	0.8	0.82	0.81
521955~158-R6	521955~158-R6~J3-PDC~WES.variants.maf	939	271	238	0.65	0.78	0.8	0.79
522493~142-R	522493~142-R~J1-PDC~WES.variants.maf	1081	233	244	0.69	0.82	0.82	0.82
524269~139-T	524269~139-T~J1-PDC~WES.variants.maf	1484	302	256	0.73	0.83	0.85	0.84
538559~288-R	538559~288-R~J2-PDC~WES.variants.maf	942	364	244	0.61	0.72	0.79	0.76
541839~054-R	541839~054-R~J1-PDC~WES.variants.maf	1011	304	272	0.64	0.77	0.79	0.78
543588~082-R	543588~082-R~J2-PDC~WES.variants.maf	856	358	224	0.6	0.71	0.79	0.75
554418~232-R	554418~232-R~J1-PDC~WES.variants.maf	2820	202	211	0.87	0.93	0.93	0.93
565248~004-R	565248~004-R~J1-PDC~WES.variants.maf	1022	249	282	0.66	0.8	0.78	0.79
571681~070-R	571681~070-R~J1-PDC~WES.variants.maf	1093	163	195	0.75	0.87	0.85	0.86
575813~281-R2	575813~281-R2~J2-PDC~WES.variants.maf	1035	234	262	0.68	0.82	0.8	0.81
596521~263-R	596521~263-R~J1-PDC~WES.variants.maf	963	253	234	0.66	0.79	0.8	0.8
615535~235-R	615535~235-R~J1-PDC~WES.variants.maf	1074	223	163	0.74	0.83	0.87	0.85
616732~234-R1	616732~234-R1~J1-PDC~WES.variants.maf	1045	189	176	0.74	0.85	0.86	0.85
618468~307-R	618468~307-R~J2-PDC~WES.variants.maf	1125	302	266	0.66	0.79	0.81	0.8
633739~251-R	633739~251-R~J1-PDC~WES.variants.maf	1025	281	201	0.68	0.78	0.84	0.81
635999~064-R	635999~064-R~J1-PDC~WES.variants.maf	791	441	337	0.5	0.64	0.7	0.67
636577~100-R	636577~100-R~J1-PDC~WES.variants.maf	1695	319	489	0.68	0.84	0.78	0.81
638234~109-R	638234~109-R~J1-PDC~WES.variants.maf	985	198	214	0.71	0.83	0.82	0.83
639538~348-R	639538~348-R~J2-PDC~WES.variants.maf	931	305	189	0.65	0.75	0.83	0.79
673883~063-R7	673883~063-R7~J1-PDC~WES.variants.maf	805	438	230	0.55	0.65	0.78	0.71
676499~111-R	676499~111-R~J2-PDC~WES.variants.maf	1110	206	218	0.72	0.84	0.84	0.84
