Model	PDX/PDC/Organoid Sample	Common	Originator Only	Test Sample Only	Jaccard	PPA_refOriginator	PPA_refTest	ISA
116655~072-R	116655~072-R~V1-organoid~WES.variants.maf	1500	641	993	0.48	0.7	0.6	0.65
136153~299-R	136153~299-R~V2-organoid~WES.variants.maf	959	264	298	0.63	0.78	0.76	0.77
143587~279-R	143587~279-R~V1-organoid~WES.variants.maf	3095	187	300	0.86	0.94	0.91	0.93
167148~078-R	167148~078-R~V1-organoid~WES.variants.maf	1002	284	225	0.66	0.78	0.82	0.8
171881~019-R	171881~019-R~V1-organoid~WES.variants.maf	3112	656	410	0.74	0.83	0.88	0.85
174125~134-R	174125~134-R~V1-organoid~WES.variants.maf	984	200	218	0.7	0.83	0.82	0.82
191243~178-R	191243~178-R~V1-organoid~WES.variants.maf	1130	230	228	0.71	0.83	0.83	0.83
194179~226-R	194179~226-R~V1-organoid~WES.variants.maf	977	163	205	0.73	0.86	0.83	0.84
242566~281-R	242566~281-R~V1-organoid~WES.variants.maf	1002	209	193	0.71	0.83	0.84	0.83
249533~200-R	249533~200-R~V1-organoid~WES.variants.maf	951	321	259	0.62	0.75	0.79	0.77
251568~266-R	251568~266-R~V1-organoid~WES.variants.maf	1220	303	221	0.7	0.8	0.85	0.82
252517~233-R	252517~233-R~V1-organoid~WES.variants.maf	1024	194	191	0.73	0.84	0.84	0.84
254851~301-R	254851~301-R~V2-organoid~WES.variants.maf	1097	182	168	0.76	0.86	0.87	0.86
255893~291-R	255893~291-R~V1-organoid~WES.variants.maf	1092	280	220	0.69	0.8	0.83	0.81
259778~044-R	259778~044-R~V2-organoid~WES.variants.maf	1009	214	318	0.65	0.83	0.76	0.79
274332~332-R	274332~332-R~V1-organoid~WES.variants.maf	994	180	200	0.72	0.85	0.83	0.84
275155~148-R	275155~148-R~V1-organoid~WES.variants.maf	3099	247	733	0.76	0.93	0.81	0.86
275375~350-R	275375~350-R~V1-organoid~WES.variants.maf	1117	215	279	0.69	0.84	0.8	0.82
282377~053-R	282377~053-R~V1-organoid~WES.variants.maf	1808	270	663	0.66	0.87	0.73	0.79
295898~268-R2	295898~268-R2~V1-organoid~WES.variants.maf	1097	153	188	0.76	0.88	0.85	0.87
295898~268-R5	295898~268-R5~V5-organoid~WES.variants.maf	1130	213	208	0.73	0.84	0.84	0.84
296347~364-R	296347~364-R~V2-organoid~WES.variants.maf	1053	258	283	0.66	0.8	0.79	0.8
299254~011-R	299254~011-R~V2-organoid~WES.variants.maf	1830	319	279	0.75	0.85	0.87	0.86
313798~341-R	313798~341-R~V1-organoid~WES.variants.maf	1138	230	220	0.72	0.83	0.84	0.83
324938~238-R	324938~238-R~V1-organoid~WES.variants.maf	1164	205	226	0.73	0.85	0.84	0.84
325652~104-R	325652~104-R~V1-organoid~WES.variants.maf	957	237	217	0.68	0.8	0.82	0.81
327498~153-R	327498~153-R~V1-organoid~WES.variants.maf	1685	195	317	0.77	0.9	0.84	0.87
328634~206-R	328634~206-R~V1-organoid~WES.variants.maf	1022	277	212	0.68	0.79	0.83	0.81
331888~031-R	331888~031-R~V1-organoid~WES.variants.maf	952	198	202	0.7	0.83	0.82	0.83
333224~299-R	333224~299-R~V2-organoid~WES.variants.maf	980	169	210	0.72	0.85	0.82	0.84
337426~197-R	337426~197-R~V2-organoid~WES.variants.maf	952	270	263	0.64	0.78	0.78	0.78
341922~053-R	341922~053-R~V1-organoid~WES.variants.maf	1102	219	195	0.73	0.83	0.85	0.84
346799~050-R	346799~050-R~V1-organoid~WES.variants.maf	1069	188	254	0.71	0.85	0.81	0.83
381356~305-R	381356~305-R~V2-organoid~WES.variants.maf	1121	180	290	0.7	0.86	0.79	0.83
388244~064-R	388244~064-R~V1-organoid~WES.variants.maf	2156	650	291	0.7	0.77	0.88	0.82
392184~169-R	392184~169-R~V1-organoid~WES.variants.maf	1132	151	174	0.78	0.88	0.87	0.87
412728~344-R	412728~344-R~V1-organoid~WES.variants.maf	1735	277	528	0.68	0.86	0.77	0.81
413552~270-R	413552~270-R~V1-organoid~WES.variants.maf	1351	324	286	0.69	0.81	0.83	0.82
415267~285-R	415267~285-R~V1-organoid~WES.variants.maf	2943	479	254	0.8	0.86	0.92	0.89
415371~026-R	415371~026-R~V1-organoid~WES.variants.maf	3417	238	309	0.86	0.93	0.92	0.93
417952~058-R	417952~058-R~V1-organoid~WES.variants.maf	1083	230	271	0.68	0.82	0.8	0.81
419622~098-T	419622~098-T~V1-organoid~WES.variants.maf	1021	181	236	0.71	0.85	0.81	0.83
422866~222-R5	422866~222-R5~V1-organoid~WES.variants.maf	1084	280	229	0.68	0.79	0.83	0.81
451658~271-R	451658~271-R~V1-organoid~WES.variants.maf	1018	209	271	0.68	0.83	0.79	0.81
454973~116-R3	454973~116-R3~V2-organoid~WES.variants.maf	1044	339	234	0.65	0.75	0.82	0.78
454973~116-R4	454973~116-R4~V1-organoid~WES.variants.maf	1072	289	269	0.66	0.79	0.8	0.79
459288~142-R	459288~142-R~V1-organoid~WES.variants.maf	1660	293	508	0.67	0.85	0.77	0.81
466732~252-T	466732~252-T~V1-organoid~WES.variants.maf	2809	488	260	0.79	0.85	0.92	0.88
474377~126-R	474377~126-R~V1-organoid~WES.variants.maf	1790	354	422	0.7	0.83	0.81	0.82
476673~061-R	476673~061-R~V1-organoid~WES.variants.maf	1084	249	224	0.7	0.81	0.83	0.82
479421~043-R	479421~043-R~V1-organoid~WES.variants.maf	1122	194	172	0.75	0.85	0.87	0.86
483684~250-R	483684~250-R~V1-organoid~WES.variants.maf	1002	278	290	0.64	0.78	0.78	0.78
485368~065-R3	485368~065-R3~V3-organoid~WES.variants.maf	1017	328	250	0.64	0.76	0.8	0.78
485977~131-R	485977~131-R~V2-organoid~WES.variants.maf	1321	392	690	0.55	0.77	0.66	0.71
491133~110-R	491133~110-R~V1-organoid~WES.variants.maf	1142	309	151	0.71	0.79	0.88	0.83
512936~074-R	512936~074-R~V1-organoid~WES.variants.maf	985	249	335	0.63	0.8	0.75	0.77
514753~038-R	514753~038-R~V1-organoid~WES.variants.maf	1051	281	189	0.69	0.79	0.85	0.82
514821~333-R	514821~333-R~V2-organoid~WES.variants.maf	1162	179	142	0.78	0.87	0.89	0.88
519858~162-T	519858~162-T~V1-organoid~WES.variants.maf	964	227	238	0.67	0.81	0.8	0.81
521955~158-R4	521955~158-R4~V3-organoid~WES.variants.maf	906	274	301	0.61	0.77	0.75	0.76
521955~158-R5	521955~158-R5~V10-organoid~WES.variants.maf	1007	258	195	0.69	0.8	0.84	0.82
521955~158-R6	521955~158-R6~V4-organoid~WES.variants.maf	953	257	262	0.65	0.79	0.78	0.79
521955~158-R7	521955~158-R7~V1-organoid~WES.variants.maf	885	288	234	0.63	0.75	0.79	0.77
522493~142-R	522493~142-R~V2-organoid~WES.variants.maf	1051	263	201	0.69	0.8	0.84	0.82
524269~139-T	524269~139-T~V2-organoid~WES.variants.maf	1495	291	307	0.71	0.84	0.83	0.83
538559~288-R	538559~288-R~V1-organoid~WES.variants.maf	1018	288	233	0.66	0.78	0.81	0.8
541839~054-R	541839~054-R~V1-organoid~WES.variants.maf	1060	255	293	0.66	0.81	0.78	0.79
551195~344-R	551195~344-R~V1-organoid~WES.variants.maf	1106	176	263	0.72	0.86	0.81	0.83
554418~232-R	554418~232-R~V1-organoid~WES.variants.maf	2730	292	195	0.85	0.9	0.93	0.92
562452~108-R	562452~108-R~V1-organoid~WES.variants.maf	1657	581	336	0.64	0.74	0.83	0.78
565248~004-R	565248~004-R~V1-organoid~WES.variants.maf	1034	237	327	0.65	0.81	0.76	0.79
575813~281-R2	575813~281-R2~V1-organoid~WES.variants.maf	1040	229	195	0.71	0.82	0.84	0.83
615535~235-R	615535~235-R~V1-organoid~WES.variants.maf	1108	189	139	0.77	0.85	0.89	0.87
616732~234-R1	616732~234-R1~V1-organoid~WES.variants.maf	989	245	248	0.67	0.8	0.8	0.8
618468~307-R	618468~307-R~V2-organoid~WES.variants.maf	1202	225	240	0.72	0.84	0.83	0.84
629538~142-R	629538~142-R~V1-organoid~WES.variants.maf	1709	267	503	0.69	0.86	0.77	0.82
633739~251-R	633739~251-R~V1-organoid~WES.variants.maf	1058	248	182	0.71	0.81	0.85	0.83
636577~100-R	636577~100-R~V1-organoid~WES.variants.maf	1738	276	711	0.64	0.86	0.71	0.78
638234~109-R	638234~109-R~V1-organoid~WES.variants.maf	1013	170	200	0.73	0.86	0.84	0.85
648538~100-R	648538~100-R~V1-organoid~WES.variants.maf	2906	211	264	0.86	0.93	0.92	0.92
657687~091-R	657687~091-R~V1-organoid~WES.variants.maf	964	184	174	0.73	0.84	0.85	0.84
668155~338-R	668155~338-R~V1-organoid~WES.variants.maf	2785	402	290	0.8	0.87	0.91	0.89
671287~276-R	671287~276-R~V1-organoid~WES.variants.maf	1130	267	196	0.71	0.81	0.85	0.83
673867~039-R	673867~039-R~V2-organoid~WES.variants.maf	1159	175	239	0.74	0.87	0.83	0.85
673883~063-R4	673883~063-R4~V3-organoid~WES.variants.maf	795	427	201	0.56	0.65	0.8	0.72
713683~067-R	713683~067-R~V1-organoid~WES.variants.maf	1147	253	212	0.71	0.82	0.84	0.83
755229~096-R	755229~096-R~V1-organoid~WES.variants.maf	1079	182	230	0.72	0.86	0.82	0.84
762968~020-R	762968~020-R~V1-organoid~WES.variants.maf	1097	182	203	0.74	0.86	0.84	0.85
764851~200-R	764851~200-R~V2-organoid~WES.variants.maf	1097	180	193	0.75	0.86	0.85	0.85
772611~094-R	772611~094-R~V3-organoid~WES.variants.maf	1268	224	246	0.73	0.85	0.84	0.84
778377~087-R	778377~087-R~V1-organoid~WES.variants.maf	990	247	193	0.69	0.8	0.84	0.82
784581~064-R	784581~064-R~V1-organoid~WES.variants.maf	1162	230	199	0.73	0.83	0.85	0.84
784911~089-T	784911~089-T~V1-organoid~WES.variants.maf	995	227	310	0.65	0.81	0.76	0.79
814844~326-R	814844~326-R~V2-organoid~WES.variants.maf	1116	255	405	0.63	0.81	0.73	0.77
817829~284-R	817829~284-R~V1-organoid~WES.variants.maf	2683	280	509	0.77	0.91	0.84	0.87
825966~067-R	825966~067-R~V1-organoid~WES.variants.maf	2696	429	585	0.73	0.86	0.82	0.84
862989~056-R	862989~056-R~V1-organoid~WES.variants.maf	2744	548	241	0.78	0.83	0.92	0.87
864244~320-R	864244~320-R~V1-organoid~WES.variants.maf	1096	219	223	0.71	0.83	0.83	0.83
868679~213-R	868679~213-R~V1-organoid~WES.variants.maf	971	302	202	0.66	0.76	0.83	0.79
873145~292-R	873145~292-R~V1-organoid~WES.variants.maf	1086	219	261	0.69	0.83	0.81	0.82
875164~322-T	875164~322-T~V2-organoid~WES.variants.maf	1511	400	369	0.66	0.79	0.8	0.8
876135~273-R	876135~273-R~V1-organoid~WES.variants.maf	3225	256	249	0.86	0.93	0.93	0.93
877282~077-R	877282~077-R~V1-organoid~WES.variants.maf	1498	138	223	0.81	0.92	0.87	0.89
879694~015-R	879694~015-R~V1-organoid~WES.variants.maf	1476	444	225	0.69	0.77	0.87	0.82
884544~143-R	884544~143-R~V1-organoid~WES.variants.maf	1046	354	248	0.63	0.75	0.81	0.78
885512~296-R	885512~296-R~V1-organoid~WES.variants.maf	1083	249	293	0.67	0.81	0.79	0.8
886662~343-R	886662~343-R~V2-organoid~WES.variants.maf	1247	116	127	0.84	0.91	0.91	0.91
897434~029-R	897434~029-R~V1-organoid~WES.variants.maf	2678	8142	13100	0.11	0.25	0.17	0.2
899872~116-R	899872~116-R~V1-organoid~WES.variants.maf	1123	223	256	0.7	0.83	0.81	0.82
899932~113-R3	899932~113-R3~V4-organoid~WES.variants.maf	1179	181	180	0.77	0.87	0.87	0.87
899932~113-R5	899932~113-R5~V5-organoid~WES.variants.maf	1240	154	167	0.79	0.89	0.88	0.89
899932~113-R6	899932~113-R6~V2-organoid~WES.variants.maf	1203	157	157	0.79	0.88	0.88	0.88
899932~113-R7	899932~113-R7~V3-organoid~WES.variants.maf	1221	143	182	0.79	0.9	0.87	0.88
899932~113-R8	899932~113-R8~V6-organoid~WES.variants.maf	1216	173	185	0.77	0.88	0.87	0.87
913389~277-R	913389~277-R~V1-organoid~WES.variants.maf	1124	198	161	0.76	0.85	0.87	0.86
919269~233-R3	919269~233-R3~V2-organoid~WES.variants.maf	1096	182	161	0.76	0.86	0.87	0.86
919269~233-R4	919269~233-R4~V4-organoid~WES.variants.maf	1052	191	222	0.72	0.85	0.83	0.84
936559~144-R	936559~144-R~V1-organoid~WES.variants.maf	1013	324	186	0.67	0.76	0.84	0.8
947675~243-R	947675~243-R~V1-organoid~WES.variants.maf	1143	231	212	0.72	0.83	0.84	0.84
947725~317-R	947725~317-R~V3-organoid~WES.variants.maf	1129	237	270	0.69	0.83	0.81	0.82
947758~054-R	947758~054-R~V1-organoid~WES.variants.maf	2035	378	555	0.69	0.84	0.79	0.81
959411~043-R	959411~043-R~V1-organoid~WES.variants.maf	1023	212	336	0.65	0.83	0.75	0.79
974816~308-R	974816~308-R~V1-organoid~WES.variants.maf	1611	497	216	0.69	0.76	0.88	0.82
975524~054-R	975524~054-R~V1-organoid~WES.variants.maf	988	258	221	0.67	0.79	0.82	0.8
981439~253-R	981439~253-R~V1-organoid~WES.variants.maf	1087	220	348	0.66	0.83	0.76	0.79
987419~145-R	987419~145-R~V1-organoid~WES.variants.maf	1003	275	191	0.68	0.78	0.84	0.81
989133~093-R	989133~093-R~V2-organoid~WES.variants.maf	1085	275	212	0.69	0.8	0.84	0.82
